,movie,year,imdb,metascore,votes,gross (usd),n_imdb
450,The Last Airbender,2010,4.1,20,137125,131564731,41.0
451,Central Intelligence,2016,6.3,52,136961,127440871,63.0
452,Hercules,2014,6.0,47,136776,72688614,60.0
453,War Horse,2011,7.2,72,135590,79884879,72.0
454,47 Ronin,2013,6.3,28,134808,38362475,63.0
455,Darkest Hour,2017,7.4,75,134465,56443120,74.0
456,Red Sparrow,2018,6.6,53,134087,46874505,66.0
457,Baywatch,2017,5.6,37,133889,58060186,56.0
458,The Spectacular Now,2013,7.1,82,133066,6851969,71.0
459,Puss in Boots,2011,6.6,65,132583,149260504,66.0
460,Deepwater Horizon,2016,7.1,68,132239,61284947,71.0
461,The Way Way Back,2013,7.4,68,132182,21501098,74.0
462,The Drop,2014,7.1,69,131572,10724389,71.0
463,The Master,2012,7.1,86,130413,16377274,71.0
464,Your Name.,2016,8.4,79,130321,5017246,84.0
465,Pitch Perfect 2,2015,6.4,63,129857,184296230,64.0
466,Never Let Me Go,2010,7.1,69,129616,2434652,71.0
467,Unbroken,2014,7.2,59,129331,115637895,72.0
468,Begin Again,2013,7.4,62,129048,16170632,74.0
469,Remember Me,2010,7.1,40,128844,19068240,71.0
470,American Made,2017,7.2,65,128828,51342000,72.0
471,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,128729,104386950,63.0
472,Dear John,2010,6.3,43,127889,80014842,63.0
473,Grown Ups 2,2013,5.4,19,127796,133668525,54.0
474,One Day,2011,7.0,48,127448,13843771,70.0
475,Winter's Bone,2010,7.2,90,127325,6531503,72.0
476,We Bought a Zoo,2011,7.1,58,126316,75624550,71.0
477,The Last Stand,2013,6.4,54,126242,12050299,64.0
478,Spring Breakers,2012,5.3,63,125737,14123773,53.0
479,Foxcatcher,2014,7.0,81,125525,12096300,70.0
480,The Purge: Anarchy,2014,6.5,50,125461,71962800,65.0
481,It's Kind of a Funny Story,2010,7.1,63,125204,6350058,71.0
482,Carrie,2013,5.9,53,124763,35266619,59.0
483,Tower Heist,2011,6.2,59,124692,78046570,62.0
484,Resident Evil: Retribution,2012,5.4,39,124655,42345531,54.0
485,Allied,2016,7.1,60,124343,40069087,71.0
486,Killing Them Softly,2012,6.2,64,123788,15026056,62.0
487,What We Do in the Shadows,2014,7.7,76,123727,3333000,77.0
488,London Has Fallen,2016,5.9,28,123640,62678608,59.0
489,Magic Mike,2012,6.1,72,123434,113721571,61.0
490,Blue Is the Warmest Color,2013,7.8,88,123389,2199675,78.0
491,Inside Llewyn Davis,2013,7.5,93,123009,13235319,75.0
492,The Gift,2015,7.1,77,122992,43771291,71.0
493,Into the Woods,2014,6.0,69,122951,128002372,60.0
494,Incendies,2010,8.3,80,122901,6857096,83.0
495,We Need to Talk About Kevin,2011,7.5,68,122753,1738692,75.0
496,The Skin I Live In,2011,7.6,70,122700,3185812,76.0
497,Jack the Giant Slayer,2013,6.3,51,122438,65187603,63.0
498,The Other Woman,2014,6.0,39,122312,83911193,60.0
499,Before Midnight,2013,7.9,94,122256,8114627,79.0
500,Green Zone,2010,6.8,63,121827,35053660,68.0
501,Devil,2010,6.2,44,121659,33583175,62.0
502,The Mortal Instruments: City of Bones,2013,5.9,33,121406,31165421,59.0
503,Trainwreck,2015,6.2,75,121285,110212700,62.0
504,Let's Be Cops,2014,6.4,30,121272,82390774,64.0
505,Last Vegas,2013,6.6,48,121035,63914167,66.0
506,Jack Reacher: Never Go Back,2016,6.1,47,120638,58697076,61.0
507,Annabelle,2014,5.4,37,120568,84273813,54.0
508,The Kids Are All Right,2010,7.0,86,120395,20811365,70.0
509,Locke,2013,7.1,81,119945,1361423,71.0
510,Pixels,2015,5.6,27,119020,78747585,56.0
511,Crimson Peak,2015,6.5,66,118619,31056945,65.0
512,The Book Thief,2013,7.6,53,118463,21488481,76.0
513,This Is 40,2012,6.2,59,118460,67544505,62.0
514,The Campaign,2012,6.1,50,118390,86907746,61.0
515,Scream 4,2011,6.2,52,118279,38180928,62.0
516,Snowden,2016,7.3,58,118033,21587519,73.0
517,Dumb and Dumber To,2014,5.6,36,117930,86208010,56.0
518,Killer Elite,2011,6.5,44,117407,25124986,65.0
519,Joy,2015,6.6,56,117368,56451232,66.0
520,The Monuments Men,2014,6.1,52,117142,78031620,61.0
521,Transformers: The Last Knight,2017,5.2,27,117069,130168683,52.0
522,She's Out of My League,2010,6.4,46,116766,31584722,64.0
523,Brooklyn,2015,7.5,88,116243,38317535,75.0
524,Still Alice,2014,7.5,72,116168,18754371,75.0
525,J. Edgar,2011,6.6,59,115507,37306030,66.0
526,The Watch,2012,5.7,36,115435,35353000,57.0
527,Savages,2012,6.5,59,115302,47382068,65.0
528,The Lego Batman Movie,2017,7.3,75,114938,175750384,73.0
529,Identity Thief,2013,5.7,35,114924,134506920,57.0
530,First Man,2018,7.4,84,114885,44936545,74.0
531,Kung Fu Panda 3,2016,7.1,66,114672,143528619,71.0
532,Sing,2016,7.1,59,114572,270395425,71.0
533,Jack Ryan: Shadow Recruit,2014,6.2,57,114427,50577412,62.0
534,Hall Pass,2011,5.9,45,113427,45060734,59.0
535,Rampage,2018,6.1,45,113046,99345950,61.0
536,Life as We Know It,2010,6.6,39,112483,53374681,66.0
537,Under the Skin,2013,6.3,78,112398,2605039,63.0
538,The Bounty Hunter,2010,5.6,22,111932,67061228,56.0
539,Me and Earl and the Dying Girl,2015,7.8,74,111885,6743776,78.0
540,Safety Not Guaranteed,2012,7.0,72,111557,4010957,70.0
541,Contraband,2012,6.5,51,111374,66528000,65.0
542,The Thing,2011,6.2,49,111315,16928670,62.0
543,Carnage,2011,7.2,61,110942,2547047,72.0
544,"Hail, Caesar!",2016,6.3,72,110656,30080225,63.0
545,Get Hard,2015,6.0,34,110434,90411453,60.0
546,The Great Wall,2016,6.0,42,110347,45540830,60.0
547,The Disaster Artist,2017,7.4,76,110077,21120616,74.0
548,Johnny English Reborn,2011,6.3,46,110060,8305970,63.0
549,Wonder,2017,8.0,66,109830,132422809,80.0
550,Wild,2014,7.1,76,109595,37880356,71.0
551,The Walk,2015,7.3,70,109126,10137502,73.0
552,R.I.P.D.,2013,5.6,25,108551,33618855,56.0
553,The Favourite,2018,7.6,90,108298,34243870,76.0
554,Priest,2011,5.7,41,107854,29136626,57.0
555,In the Heart of the Sea,2015,6.9,47,107772,25020758,69.0
556,The Meg,2018,5.7,46,107746,143005856,57.0
557,Train to Busan,2016,7.5,72,107177,2129768,75.0
558,If I Stay,2014,6.8,46,106929,50474843,68.0
559,Margin Call,2011,7.1,76,106856,5354039,71.0
560,Valentine's Day,2010,5.7,34,106817,110485654,57.0
561,From Paris with Love,2010,6.5,42,106760,23979741,65.0
562,Let Me In,2010,7.1,79,106576,12134420,71.0
563,The Post,2017,7.2,83,106295,81903458,72.0
564,Oculus,2013,6.5,61,106264,27695246,65.0
565,Nymphomaniac: Vol. I,2013,6.9,64,106095,785669,69.0
566,The Shallows,2016,6.3,59,105846,55121623,63.0
567,Blended,2014,6.5,31,105793,46294610,65.0
568,The Dark Tower,2017,5.7,34,105666,50701325,57.0
569,Water for Elephants,2011,6.9,52,105471,58709717,69.0
570,The Host,2013,5.9,35,105266,26627201,59.0
571,Isle of Dogs,2018,7.9,82,105056,32015231,79.0
572,Parker,2013,6.2,42,105028,17616641,62.0
573,Premium Rush,2012,6.5,66,105003,20275446,65.0
574,Nebraska,2013,7.7,86,104966,17654912,77.0
575,Kubo and the Two Strings,2016,7.8,84,104673,48023088,78.0
576,A Walk Among the Tombstones,2014,6.5,57,104653,26307600,65.0
577,Logan Lucky,2017,7.0,78,104638,27780977,70.0
578,Trance,2013,6.9,61,104574,2319187,69.0
579,The Giver,2014,6.5,47,104570,45089048,65.0
580,I Origins,2014,7.4,57,104047,334658,74.0
581,The Crazies,2010,6.5,55,104036,39123589,65.0
582,The Raid 2,2014,8.0,71,103844,2625803,80.0
583,"Love, Rosie",2014,7.2,44,103763,14893,72.0
584,The Call,2013,6.7,51,103220,51872378,67.0
585,Ghost Rider: Spirit of Vengeance,2011,4.3,34,103031,51774002,43.0
586,The Big Sick,2017,7.6,86,102965,42872467,76.0
587,13 Hours,2016,7.3,48,102723,52853219,73.0
588,Molly's Game,2017,7.5,71,102542,28780744,75.0
589,The Family,2013,6.3,42,102184,36918811,63.0
590,Lee Daniels' The Butler,2013,7.2,66,102133,116632095,72.0
591,Red Riding Hood,2011,5.5,29,102019,37662162,55.0
592,Nerve,2016,6.5,58,101969,38562379,65.0
593,Percy Jackson: Sea of Monsters,2013,5.8,39,101823,68559554,58.0
594,Seeking a Friend for the End of the World,2012,6.7,59,101756,6619173,67.0
595,Neighbors 2: Sorority Rising,2016,5.7,58,101736,55291815,57.0
596,The Way Back,2010,7.3,66,101728,2701859,73.0
597,The Visit,2015,6.2,55,101683,65206105,62.0
598,Upgrade,2018,7.6,67,100484,11871365,76.0
599,Dirty Grandpa,2016,5.9,21,100373,35537564,59.0
600,Bad Moms,2016,6.2,60,100052,113257297,62.0
601,Sex Tape,2014,5.1,36,99980,38543473,51.0
602,Pompeii,2014,5.5,39,99863,23219748,55.0
603,Only God Forgives,2013,5.7,37,99835,778565,57.0
604,Carol,2015,7.2,95,99825,12711491,72.0
605,Lights Out,2016,6.3,58,99532,67268835,63.0
606,Little Fockers,2010,5.5,27,98742,148383780,55.0
607,Out of the Furnace,2013,6.8,63,98642,11326836,68.0
608,The Three Musketeers,2011,5.8,35,98149,20377913,58.0
609,Homefront,2013,6.5,40,98113,20158492,65.0
610,The Wolfman,2010,5.8,43,97529,61979680,58.0
611,Final Destination 5,2011,5.9,50,97491,42587643,59.0
612,Stoker,2013,6.8,58,97064,1702277,68.0
613,Safe Haven,2013,6.7,34,96429,71349120,67.0
614,The Founder,2016,7.2,66,96391,12785093,72.0
615,Daddy's Home,2015,6.2,42,96042,150357137,62.0
616,Safe,2012,6.5,55,95982,17142080,65.0
617,Repo Men,2010,6.3,32,95831,13794835,63.0
618,The Iron Lady,2011,6.4,54,95714,30017992,64.0
619,T2 Trainspotting,2017,7.2,67,95699,2402004,72.0
620,The Best Offer,2013,7.8,49,95359,85433,78.0
621,Burnt,2015,6.6,42,95101,13650738,66.0
622,Epic,2013,6.7,52,95034,107518682,67.0
623,The Rum Diary,2011,6.2,56,94558,13100042,62.0
624,Gods of Egypt,2016,5.4,25,94314,31153464,54.0
625,Fright Night,2011,6.4,64,94240,18298649,64.0
626,Allegiant,2016,5.7,33,94171,66184051,57.0
627,Ride Along,2014,6.2,41,93916,134938200,62.0
628,The Lucky One,2012,6.5,39,93860,60457138,65.0
629,Run All Night,2015,6.6,59,93686,26442251,66.0
630,Attack the Block,2011,6.6,75,93572,1024175,66.0
631,Wall Street: Money Never Sleeps,2010,6.2,59,93208,52474616,62.0
632,Faster,2010,6.5,44,93205,23240020,65.0
633,I Saw the Devil,2010,7.8,67,93175,128392,78.0
634,The Equalizer 2,2018,6.7,50,93172,102084362,67.0
635,Filth,2013,7.1,56,93068,34321,71.0
636,A Dangerous Method,2011,6.4,76,92922,5702083,64.0
637,Extremely Loud & Incredibly Close,2011,6.9,46,92898,31847881,69.0
638,Paranormal Activity 2,2010,5.7,53,92742,84752907,57.0
639,Your Highness,2011,5.5,31,92724,21596445,55.0
640,The Boss Baby,2017,6.3,50,92384,175003033,63.0
641,Night at the Museum: Secret of the Tomb,2014,6.2,47,92207,113746621,62.0
642,Movie 43,2013,4.3,18,92183,8828771,43.0
643,Legion,2010,5.2,32,92150,40168080,52.0
644,Hotel Transylvania 2,2015,6.7,44,91995,169700110,67.0
645,The Counsellor,2013,5.3,48,91782,16973715,53.0
646,Sicario: Day of the Soldado,2018,7.1,61,91766,50072235,71.0
647,Searching,2018,7.7,71,91737,26020957,77.0
648,That Awkward Moment,2014,6.2,36,91684,26049082,62.0
649,Dinner for Schmucks,2010,5.9,56,90977,73026337,59.0
650,Headhunters,2011,7.6,72,90935,1196752,76.0
651,Power Rangers,2017,6.0,44,90898,85067486,60.0
652,The Good Dinosaur,2015,6.7,66,90895,123087120,67.0
653,Swiss Army Man,2016,7.0,64,90805,4208879,70.0
654,Despicable Me 3,2017,6.3,49,90767,264624300,63.0
655,Crazy Rich Asians,2018,7.0,74,90741,174532921,70.0
656,Ruby Sparks,2012,7.2,67,90685,2540106,72.0
657,Conan the Barbarian,2011,5.2,36,90523,21295021,52.0
658,My Name Is Khan,2010,8.0,50,90503,4018695,80.0
659,The Switch,2010,6.1,52,90268,27758465,61.0
660,The 5th Wave,2016,5.2,33,90178,34912982,52.0
661,The Predator,2018,5.4,48,89917,51024708,54.0
662,Drive Angry,2011,5.4,44,89888,10706786,54.0
663,Green Room,2015,7.0,79,89665,3219029,70.0
664,The Lorax,2012,6.4,46,89644,214030500,64.0
665,Maze Runner: The Death Cure,2018,6.2,50,89365,58032443,62.0
666,Lockout,2012,6.1,48,89345,14326864,61.0
667,St. Vincent,2014,7.3,64,89075,44134898,73.0
668,Frankenweenie,2012,7.0,74,89018,35291068,70.0
669,Why Him?,2016,6.2,39,88851,60269575,62.0
670,Annabelle: Creation,2017,6.5,62,88582,102092201,65.0
671,Jobs,2013,5.9,44,88502,16117443,59.0
672,Coherence,2013,7.2,65,88494,68877,72.0
673,Philomena,2013,7.6,77,88387,37707719,76.0
674,The Five-Year Engagement,2012,6.2,62,88152,28835528,62.0
675,The Killing of a Sacred Deer,2017,7.0,73,88034,2291901,70.0
676,Pacific Rim: Uprising,2018,5.6,44,87534,59185715,56.0
677,Colombiana,2011,6.4,45,87236,36665854,64.0
678,Paper Towns,2015,6.3,56,87196,32000304,63.0
679,Hereafter,2010,6.5,56,87097,32746941,65.0
680,Vacation,2015,6.1,34,86979,58884188,61.0
681,The Huntsman: Winter's War,2016,6.1,35,86960,48390190,61.0
682,30 Minutes or Less,2011,6.1,49,86847,37053924,61.0
683,ParaNorman,2012,7.0,72,86834,56003051,70.0
684,The American,2010,6.3,61,86665,35606376,63.0
685,Hunt for the Wilderpeople,2016,7.9,81,86578,5202582,79.0
686,The Edge of Seventeen,2016,7.4,77,86285,14260193,74.0
687,Ip Man 2,2010,7.6,67,86055,205675,76.0
688,Letters to Juliet,2010,6.6,50,85802,53032453,66.0
689,Money Monster,2016,6.5,55,85779,41012075,65.0
690,Fences,2016,7.2,79,85729,57642961,72.0
691,The Nun,2018,5.4,46,85725,117443149,54.0
692,Leap Year,2010,6.5,33,85594,25918920,65.0
693,Bad Grandpa,2013,6.5,54,85523,102003019,65.0
694,The Best Exotic Marigold Hotel,2011,7.3,62,85498,46412041,73.0
695,Another Earth,2011,7.0,66,85486,1316074,70.0
696,The Last Witch Hunter,2015,6.0,34,85483,27367660,60.0
697,Home,2015,6.6,55,85460,177397510,66.0
698,Paranormal Activity 3,2011,5.8,59,85364,104007828,58.0
699,Season of the Witch,2011,5.4,28,85356,24827228,54.0
700,The Rite,2011,6.0,38,85273,33047633,60.0
701,Bumblebee,2018,6.9,66,85263,127195589,69.0
702,A Nightmare on Elm Street,2010,5.2,35,85201,63075011,52.0
703,Phantom Thread,2017,7.5,90,84718,21023275,75.0
704,Halloween,2018,6.7,67,84634,159342015,67.0
705,Amour,2012,7.9,94,84601,6739492,79.0
706,Edge of Darkness,2010,6.6,55,84489,43313890,66.0
707,Silence,2016,7.2,79,84380,7079191,72.0
708,Anna Karenina,2012,6.6,63,84285,12816367,66.0
709,Monsters,2010,6.4,63,84038,237301,64.0
710,Happy Death Day,2017,6.5,58,83996,55683845,65.0
711,Paddington,2014,7.2,77,83785,76271832,72.0
712,Beginners,2010,7.2,81,83534,5790894,72.0
713,Skyline,2010,4.4,26,83521,21371425,44.0
714,The Losers,2010,6.4,44,83455,23580735,64.0
715,Saw 3D: The Final Chapter,2010,5.6,24,83077,45710178,56.0
716,Journey 2: The Mysterious Island,2012,5.8,41,82969,103860290,58.0
717,Take Shelter,2011,7.4,85,82799,1729969,74.0
718,Inherent Vice,2014,6.7,81,82754,8110975,67.0
719,That's My Boy,2012,5.6,31,82528,36931089,56.0
720,The Muppets,2011,7.1,75,82524,88631237,71.0
721,Insidious: Chapter 3,2015,6.1,52,82045,52218558,61.0
722,Killers,2010,5.4,21,81953,47059963,54.0
723,The Guest,2014,6.7,76,81649,322600,67.0
724,Here Comes the Boom,2012,6.4,40,81509,45290318,64.0
725,Cop Out,2010,5.6,31,81418,44875481,56.0
726,3 Days to Kill,2014,6.2,40,81325,30697999,62.0
727,The Brothers Grimsby,2016,6.2,44,81278,6864016,62.0
728,The Commuter,2018,6.3,56,81175,36343858,63.0
729,Gifted,2017,7.6,60,81161,24801212,76.0
730,Piranha 3D,2010,5.4,53,81041,25003155,54.0
731,Fifty Shades Darker,2017,4.6,33,80835,114376885,46.0
732,Tag,2018,6.6,56,80677,54547470,66.0
733,Our Idiot Brother,2011,6.4,60,80560,24814830,64.0
734,Cloudy with a Chance of Meatballs 2,2013,6.4,59,80378,119793567,64.0
735,Only Lovers Left Alive,2013,7.3,79,80318,1879534,73.0
736,Self/less,2015,6.5,34,80295,12276810,65.0
737,The Foreigner,2017,7.0,55,80252,34393507,70.0
738,Hitman: Agent 47,2015,5.7,28,80132,22467450,57.0
739,Mr. Popper's Penguins,2011,6.0,53,80091,68224452,60.0
740,Biutiful,2010,7.5,58,80052,5101237,75.0
741,Bad Times at the El Royale,2018,7.1,60,80039,17839115,71.0
742,A Simple Favor,2018,6.9,67,79890,53542417,69.0
743,Ralph Breaks the Internet,2018,7.1,71,79883,201091711,71.0
744,"Love, Simon",2018,7.6,72,79593,40826341,76.0
745,Goon,2011,6.8,64,79579,4168144,68.0
746,The Purge: Election Year,2016,6.0,55,79562,79003080,60.0
747,Beautiful Creatures,2013,6.2,52,79513,19452138,62.0
748,Submarine,2010,7.3,76,79496,466702,73.0
749,The Raven,2012,6.4,44,79439,16008272,64.0
750,Mirror Mirror,2012,5.6,46,79190,64935167,56.0
751,August: Osage County,2013,7.2,58,79117,37738503,72.0
752,To Rome with Love,2012,6.3,54,79108,16685867,63.0
753,My Week with Marilyn,2011,7.0,65,79095,14600347,70.0
754,Alice Through the Looking Glass,2016,6.2,34,78985,77042381,62.0
755,You're Next,2011,6.6,66,78950,18474268,66.0
756,Stuck in Love,2012,7.2,49,78612,78950,72.0
757,Haywire,2011,5.8,67,78512,18942396,58.0
758,Skyscraper,2018,5.8,51,78455,67796355,58.0
759,Nymphomaniac: Vol. II,2013,6.7,60,78315,326983,67.0
760,Collateral Beauty,2016,6.8,23,78020,30982955,68.0
761,Snitch,2013,6.5,51,77738,42930462,65.0
762,The Bling Ring,2013,5.6,66,77491,5841046,56.0
763,Hardcore Henry,2015,6.7,51,77363,9252038,67.0
764,xXx: Return of Xander Cage,2017,5.2,42,77327,44898413,52.0
765,Demolition,2015,7.0,49,77267,1978592,70.0
766,Beasts of the Southern Wild,2012,7.3,86,77232,12795746,73.0
767,Selma,2014,7.5,88,77229,52076908,75.0
768,42,2013,7.5,62,77229,95001343,75.0
769,The Handmaiden,2016,8.1,84,77189,2005473,81.0
770,The Smurfs,2011,5.5,30,77163,142614158,55.0
771,Geostorm,2017,5.3,21,77148,33700160,53.0
772,Eat Pray Love,2010,5.8,50,77084,80574010,58.0
773,Concussion,2015,7.1,55,77049,34531832,71.0
774,Big Eyes,2014,7.0,62,76909,14479776,70.0
775,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,76696,82051601,60.0
776,New Year's Eve,2011,5.7,22,76411,54544638,57.0
777,American Ultra,2015,6.1,50,76403,14434604,61.0
778,Dope,2015,7.2,72,76249,17474107,72.0
779,Patriots Day,2016,7.4,69,75410,31886361,74.0
780,Justin Bieber: Never Say Never,2011,1.6,52,74962,73013910,16.0
781,The Guard,2011,7.3,78,74921,5359774,73.0
782,Elite Squad: The Enemy Within,2010,8.1,71,74828,100119,81.0
783,"I, Frankenstein",2014,5.1,30,74655,19075290,51.0
784,Flipped,2010,7.7,45,74536,1752214,77.0
785,Eddie the Eagle,2015,7.4,54,74488,15785632,74.0
786,Jane Eyre,2011,7.4,76,74432,11242660,74.0
787,The Last Song,2010,5.9,33,74320,62950384,59.0
788,Mike and Dave Need Wedding Dates,2016,6.0,51,74270,46007113,60.0
789,Resident Evil: The Final Chapter,2016,5.6,49,74270,26830068,56.0
790,Turbo,2013,6.4,58,74071,83028128,64.0
791,Sing Street,2016,8.0,79,74037,3237118,80.0
792,How to Be Single,2016,6.1,51,73851,46813366,61.0
793,Centurion,2010,6.4,62,73803,122288,64.0
794,Downsizing,2017,5.7,63,73765,24449754,57.0
795,Young Adult,2011,6.3,71,73729,16311571,63.0
796,The Duff,2015,6.5,56,73726,34017854,65.0
797,Legend of the Guardians: The Owls of Ga'Hoole,2010,7.0,53,73564,55675313,70.0
798,The Kings of Summer,2013,7.2,61,72951,1290312,72.0
799,The Inbetweeners Movie,2011,6.8,44,72869,36000,68.0
800,Short Term 12,2013,8.0,82,72504,1010414,80.0
801,Beastly,2011,5.6,40,72357,27865571,56.0
802,Abduction,2011,5.1,25,72236,28087155,51.0
803,Goosebumps,2015,6.3,60,72226,80080379,63.0
804,Penguins of Madagascar,2014,6.7,53,72145,83348920,67.0
805,Eye in the Sky,2015,7.3,73,71990,18700837,73.0
806,The Great Beauty,2013,7.8,86,71865,2852400,78.0
807,Rio 2,2014,6.3,49,71704,131538435,63.0
808,The Circle,2017,5.3,43,71655,20476391,53.0
809,The Neon Demon,2016,6.2,51,71623,1333124,62.0
810,Broken City,2013,6.2,49,71453,19701164,62.0
811,Entourage,2015,6.6,38,71235,32361416,66.0
812,Project Almanac,2015,6.4,47,71207,22331028,64.0
813,The Florida Project,2017,7.6,92,70986,5904366,76.0
814,Jack and Jill,2011,3.3,23,70900,74158157,33.0
815,Burlesque,2010,6.4,47,70668,39440655,64.0
816,All Is Lost,2013,6.9,87,70528,6263670,69.0
817,Delivery Man,2013,6.4,44,70407,30664106,64.0
818,Super,2010,6.8,50,70324,322157,68.0
819,A Cure for Wellness,2016,6.4,47,70128,8106986,64.0
820,The Words,2012,7.1,37,70032,11494838,71.0
821,The Longest Ride,2015,7.1,33,69882,37432299,71.0
822,Disconnect,2012,7.5,64,69862,7435950,75.0
823,No Escape,2015,6.8,38,69789,27285953,68.0
824,Frank,2014,7.0,75,69783,644906,70.0
825,Rock of Ages,2012,5.9,47,69686,38518613,59.0
826,Horns,2013,6.5,46,69674,164480,65.0
827,Machete Kills,2013,5.6,41,69640,8008161,56.0
828,A Monster Calls,2016,7.5,76,69585,3730982,75.0
829,You Were Never Really Here,2017,6.8,84,69492,2523610,68.0
830,Red Dawn,2012,5.4,31,69273,44806783,54.0
831,Detachment,2011,7.7,52,69210,71177,77.0
832,The Hundred-Foot Journey,2014,7.3,55,69048,54240821,73.0
833,The Angry Birds Movie,2016,6.3,43,69047,107509366,63.0
834,The Invitation,2015,6.7,74,68933,231703,67.0
835,Wanderlust,2012,5.6,53,68885,17225675,56.0
836,Sex and the City 2,2010,4.4,27,68845,95347692,44.0
837,The BFG,2016,6.4,66,68792,55483770,64.0
838,Trumbo,2015,7.5,60,68461,7857741,75.0
839,The Boy,2016,6.0,42,68340,35794166,60.0
840,21 & Over,2013,5.9,34,68260,25682380,59.0
841,Den of Thieves,2018,7.0,49,68136,44947622,70.0
842,I Spit on Your Grave,2010,6.3,27,68112,93051,63.0
843,Hitchcock,2012,6.8,55,68098,6008677,68.0
844,It Comes at Night,2017,6.2,78,68068,13985117,62.0
845,Fruitvale Station,2013,7.5,85,67904,16097842,75.0
846,Arrietty,2010,7.6,80,67764,19202743,76.0
847,A Most Wanted Man,2014,6.8,73,67664,17237244,68.0
848,Creed II,2018,7.2,66,67661,115715889,72.0
849,Midnight Special,2016,6.6,76,67622,3707794,66.0
850,Killer Joe,2011,6.7,62,67618,1987762,67.0
851,What's Your Number?,2011,6.1,35,67594,14008193,61.0
852,Knock Knock,2015,4.9,53,67530,36336,49.0
853,The Incredible Burt Wonderstone,2013,5.9,44,67294,22525921,59.0
854,Morning Glory,2010,6.5,57,66903,31011732,65.0
855,Mechanic: Resurrection,2016,5.7,38,66628,21203260,57.0
856,The Wedding Ringer,2015,6.7,35,66624,64460211,67.0
857,"As Above, So Below",2014,6.2,38,66351,21197315,62.0
858,The Water Diviner,2014,7.1,50,66321,4190530,71.0
859,Seventh Son,2014,5.5,30,66278,17223265,55.0
860,Upside Down,2012,6.4,45,66153,102118,64.0
861,House at the End of the Street,2012,5.6,31,66091,31611916,56.0
862,Four Lions,2010,7.3,68,65920,304137,73.0
863,God Bless America,2011,7.2,56,65775,122029,72.0
864,The Lost City of Z,2016,6.6,78,65674,8580410,66.0
865,What to Expect When You're Expecting,2012,5.7,41,65641,41152203,57.0
866,Jackie,2016,6.7,81,65559,13958679,67.0
867,Going in Style,2017,6.6,50,65554,45003463,66.0
868,Dark Skies,2013,6.3,50,65539,17411930,63.0
869,The Sitter,2011,5.7,39,65427,30538669,57.0
870,The Iceman,2012,6.9,60,65322,1939441,69.0
871,Vice,2018,7.2,61,65167,47836282,72.0
872,Inside Job,2010,8.3,88,65087,4312735,83.0
873,This Is Where I Leave You,2014,6.6,44,64927,34290142,66.0
874,Mortal Engines,2018,6.1,44,64572,15951040,61.0
875,What If,2013,6.8,59,64307,3452117,68.0
876,Before I Go to Sleep,2014,6.3,41,64291,2963012,63.0
877,Youth,2015,7.3,64,64019,2698509,73.0
878,Act of Valor,2012,6.5,40,63657,70012847,65.0
879,Deliver Us from Evil,2014,6.2,40,63535,30577122,62.0
880,Beasts of No Nation,2015,7.8,79,63281,83861,78.0
881,Trollhunter,2010,7.0,61,63204,252652,70.0
882,Oldboy,2013,5.8,49,62833,2193658,58.0
883,Trolls,2016,6.5,56,62778,153707064,65.0
884,Europa Report,2013,6.4,68,62752,125687,64.0
885,Underworld: Blood Wars,2016,5.8,23,62419,30348260,58.0
886,The First Time,2012,6.9,55,62320,17061,69.0
887,Frozen,2010,6.2,43,62022,243390,62.0
888,A Very Harold & Kumar 3D Christmas,2011,6.3,61,61961,35033759,63.0
889,Café Society,2016,6.6,64,61905,11103205,66.0
890,The Death of Stalin,2017,7.2,88,61753,8041828,72.0
891,Unfriended,2014,5.6,59,61566,32482090,56.0
892,The Eagle,2011,6.2,55,61151,19490041,62.0
893,Dead Man Down,2013,6.5,39,61099,10880926,65.0
894,Redemption,2013,6.2,43,60999,34956,62.0
895,The Infiltrator,2016,7.0,66,60960,15425870,70.0
896,Mortdecai,2015,5.5,27,60950,7605668,55.0
897,The Debt,2010,6.9,65,60876,31177548,69.0
898,Gulliver's Travels,2010,4.9,33,60852,42779261,49.0
899,Into the Storm,2014,5.8,44,60664,47602194,58.0
900,The Wind Rises,2013,7.8,83,60426,5209580,78.0
901,Two Night Stand,2014,6.4,45,60155,15600,64.0
902,Triple 9,2016,6.3,52,60014,12626905,63.0
903,"Jeff, Who Lives at Home",2011,6.5,60,59983,4244155,65.0
904,Machine Gun Preacher,2011,6.8,43,59881,538690,68.0
905,A Most Violent Year,2014,7.0,79,59823,5740310,70.0
906,Scary Movie 5,2013,3.5,11,59737,32015787,35.0
907,Bridget Jones's Baby,2016,6.5,59,59727,24252420,65.0
908,The Gambler,2014,6.0,55,59653,33631221,60.0
909,Zoolander 2,2016,4.7,34,59611,28848693,47.0
910,Frances Ha,2012,7.4,82,59576,4063238,74.0
911,Dream House,2011,6.0,35,59519,21283440,60.0
912,All the Money in the World,2017,6.8,72,59347,25106315,68.0
913,The Best of Me,2014,6.7,29,59275,26761283,67.0
914,Red State,2011,6.2,50,59129,1104682,62.0
915,The Book of Life,2014,7.3,67,59087,50151543,73.0
916,Robot & Frank,2012,7.1,67,59079,3325638,71.0
917,The November Man,2014,6.3,38,59059,24984868,63.0
