,movie,year,imdb,metascore,votes,gross (usd),n_imdb
100,Dallas Buyers Club,2013,8.0,84,400273,27298285,80.0
101,American Sniper,2014,7.3,72,399612,350126372,73.0
102,The Wolverine,2013,6.7,61,398011,132556852,67.0
103,Divergent,2014,6.7,48,397889,150947895,67.0
104,Horrible Bosses,2011,6.9,57,397223,117538559,69.0
105,Elysium,2013,6.6,61,393703,93050117,66.0
106,The Conjuring,2013,7.5,68,393560,137400141,75.0
107,Sherlock Holmes: A Game of Shadows,2011,7.5,48,392055,186848418,75.0
108,Get Out,2017,7.7,84,391013,176040665,77.0
109,The Help,2011,8.1,62,390540,169708112,81.0
110,Rush,2013,8.1,75,389371,26947624,81.0
111,Dawn of the Planet of the Apes,2014,7.6,79,388037,208545589,76.0
112,The Girl with the Dragon Tattoo,2011,7.8,71,385994,102515793,78.0
113,The Amazing Spider-Man 2,2014,6.6,53,385485,202853933,66.0
114,Captain Phillips,2013,7.8,83,385427,107100855,78.0
115,The Maze Runner,2014,6.8,57,384864,102427862,68.0
116,Fury,2014,7.6,64,379548,85817906,76.0
117,Zootopia,2016,8.0,78,379385,341268248,80.0
118,Deadpool 2,2018,7.8,66,378764,324591735,78.0
119,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,376575,337135885,66.0
120,Blade Runner 2049,2017,8.0,81,371558,92054159,80.0
121,We're the Millers,2013,7.0,44,369972,150394119,70.0
122,Big Hero 6,2014,7.8,74,367783,222527828,78.0
123,Transformers: Dark of the Moon,2011,6.3,42,364883,352390543,63.0
124,Tangled,2010,7.8,71,363683,200821936,78.0
125,Hacksaw Ridge,2016,8.1,71,362036,67209615,81.0
126,Fantastic Beasts and Where to Find Them,2016,7.3,66,361661,234037575,73.0
127,Spotlight,2015,8.1,93,361508,45055776,81.0
128,This Is the End,2013,6.6,67,358884,101470202,66.0
129,The Theory of Everything,2014,7.7,72,358598,35893537,77.0
130,Alice in Wonderland,2010,6.5,53,356936,334191110,65.0
131,Baby Driver,2017,7.6,86,356591,107825862,76.0
132,Midnight in Paris,2011,7.7,81,354753,56816662,77.0
133,Spectre,2015,6.8,60,350558,200074175,68.0
134,X-Men: Apocalypse,2016,7.0,52,350460,155442489,70.0
135,Split,2016,7.3,62,350338,138291365,73.0
136,It,2017,7.4,69,350085,327481748,74.0
137,Fast & Furious 6,2013,7.1,61,345200,238679850,71.0
138,Godzilla,2014,6.4,62,344924,200676069,64.0
139,In Time,2011,6.7,53,344609,37520095,67.0
140,Despicable Me 2,2013,7.4,62,342280,368061265,74.0
141,Wreck-It Ralph,2012,7.7,72,341298,189422889,77.0
142,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,337081,54513740,82.0
